ID,Station Name,City,County,Latitude,Longitude,EV Level1,EV Level2,EV Level3,Open Date,EV Network,Facility Type,Restricted Access,EV Pricing,EV Connector Types,EV_Connect NEMA515,EV_Connect NEMA520,EV_Connect NEMA1450,EV_Connect CCS,EV_Connect CHADEMO,EV_Connect TESLA,EV_Connect J1772
102483,"Aberdeen, WA - Tesla Supercharger",Aberdeen,Grays Harbor,46.976679,-123.813485,0,0,8,1/15/2017,Tesla,NA,NA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,TESLA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
191770,"Walmart 2037 (Aberdeen, WA)",Aberdeen,Grays Harbor,46.97642,-123.80708,0,0,4,7/3/2021,Electrify America,NA,NA,NA,CHADEMO J1772COMBO,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
250773,415 West Heron Street (US-3HE-7VZ-1A),Aberdeen,Grays Harbor,46.9708,-123.82138,0,0,1,1/16/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250774,415 West Heron Street (US-3HE-7VZ-1B),Aberdeen,Grays Harbor,46.97114,-123.820991,0,0,1,1/16/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250775,415 West Heron Street (US-3HE-7VZ-2A),Aberdeen,Grays Harbor,46.97114,-123.82099,0,0,1,1/16/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250776,415 West Heron Street (US-3HE-7VZ-2B),Aberdeen,Grays Harbor,46.97117,-123.82093,0,0,1,1/16/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
250777,415 West Heron Street (US-3HE-7VZ-2C),Aberdeen,Grays Harbor,46.97117,-123.82092,0,0,1,1/16/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
251733,415 West Heron Street (US-3HE-7VZ-1C),Aberdeen,Grays Harbor,46.97114,-123.820993,0,0,1,1/25/2023,RIVIAN_ADVENTURE,PUBLIC,NA,NA,J1772COMBO,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
263014,WADOC ABERDEEN FO 2,Aberdeen,Grays Harbor,46.97314,-123.820847,0,2,0,6/21/2023,ChargePoint Network,NA,NA,NA,J1772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
263015,WADOC ABERDEEN FO 1,Aberdeen,Grays Harbor,46.973103,-123.820901,0,2,0,6/21/2023,ChargePoint Network,NA,NA,NA,J1772,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
