City,County,CityPop_2020_Census,CityPop_2010_Census,CityPopGrowth_2010_2020
Aberdeen,Grays Harbor,17013,16896,0.006924716
Airway Heights,Spokane,10757,6114,0.759404645
Algona,King,3290,3014,0.091572661
Anacortes,Skagit,17637,15778,0.117822284
Arlington,Snohomish,19868,17926,0.108334263
Asotin,Asotin,1204,1251,-0.037569944
Auburn,King,87256,70180,0.243317184
Bainbridge Island,Kitsap,24825,23025,0.078175896
Battle Ground,Clark,20743,17571,0.180524728
Bellevue,King,151854,122363,0.241012398
Bellingham,Whatcom,91482,80885,0.131013167
Benton City,Benton,3479,3038,0.14516129
Bingen,Klickitat,778,712,0.092696629
Black Diamond,King,4697,4151,0.13153457
Blaine,Whatcom,5884,4684,0.256191289
Bonney Lake,Pierce,22487,17374,0.294290319
Bothell,King,48161,33505,0.43742725
Bremerton,Kitsap,43505,37729,0.153091786
Brewster,Okanogan,1983,2370,-0.163291139
Bridgeport,Douglas,2141,2409,-0.111249481
Brier,Snohomish,6560,6087,0.077706588
Buckley,Pierce,5114,4354,0.174552136
Burien,King,52066,33313,0.562933389
Burlington,Skagit,9152,8388,0.091082499
Camas,Clark,26065,19355,0.346680444
Carnation,King,2154,1786,0.206047032
Cashmere,Chelan,3248,3063,0.060398302
Castle Rock,Cowlitz,2446,1982,0.234106963
Centralia,Lewis,18183,16336,0.113063173
Chehalis,Lewis,7439,7259,0.024796804
Chelan,Chelan,4222,3890,0.085347044
Cheney,Spokane,13255,10590,0.251652502
Chewelah,Stevens,2470,2607,-0.052550825
Clarkston,Asotin,7161,7229,-0.009406557
Cle Elum,Kittitas,2157,1872,0.15224359
Clyde Hill,King,3126,2984,0.047587131
Colfax,Whitman,2782,2805,-0.008199643
College Place,Walla Walla,9902,8765,0.129720479
Colville,Stevens,4917,4673,0.052214851
Connell,Franklin,5441,4209,0.292706106
Cosmopolis,Grays Harbor,1638,1649,-0.00667071
Covington,King,20777,17575,0.182190612
Davenport,Lincoln,1703,1708,-0.0029274
Dayton,Columbia,2448,2526,-0.03087886
Deer Park,Spokane,4383,3652,0.200164294
Des Moines,King,32888,29673,0.108347656
DuPont,Pierce,10151,8199,0.238077814
Duvall,King,8034,6695,0.2
East Wenatchee,Douglas,14158,13190,0.073388931
Edgewood,Pierce,12327,9387,0.313199105
Edmonds,Snohomish,42853,39709,0.079176005
Electric City,Grant,956,968,-0.012396694
Ellensburg,Kittitas,18666,18174,0.027071641
Elma,Grays Harbor,3438,3107,0.106533634
Entiat,Chelan,1326,1112,0.192446043
Enumclaw,King,12543,10669,0.175649077
Ephrata,Grant,8477,7664,0.106080376
Everett,Snohomish,110629,103019,0.073869869
Everson,Whatcom,2888,2481,0.164046755
Federal Way,King,101030,89306,0.131278973
Ferndale,Whatcom,15048,11415,0.31826544
Fife,Pierce,10999,9173,0.199062466
Fircrest,Pierce,7156,6497,0.10143143
Forks,Clallam,3335,3532,-0.055775764
George,Grant,809,501,0.614770459
Gig Harbor,Pierce,12029,7126,0.688043783
Gold Bar,Snohomish,2403,2075,0.158072289
Goldendale,Klickitat,3453,3485,-0.009182209
Grand Coulee,Grant,972,988,-0.016194332
Grandview,Yakima,10907,10862,0.004142883
Granger,Yakima,3624,3246,0.116451017
Granite Falls,Snohomish,4450,3364,0.322829964
Harrington,Lincoln,429,424,0.011792453
Hoquiam,Grays Harbor,8776,8726,0.005730002
Ilwaco,Pacific,1087,936,0.161324786
Issaquah,King,40051,30434,0.315995268
Kahlotus,Franklin,147,193,-0.238341969
Kalama,Cowlitz,2959,2344,0.262372014
Kelso,Cowlitz,12720,11925,0.066666667
Kenmore,King,23914,20460,0.168817204
Kennewick,Benton,83921,73917,0.135340991
Kent,King,136588,92411,0.47804915
Kettle Falls,Stevens,1636,1595,0.025705329
Kirkland,King,92175,48787,0.889335274
Kittitas,Kittitas,1438,1381,0.041274439
La Center,Clark,3424,2800,0.222857143
Lacey,Thurston,53526,42393,0.262614111
Lake Forest Park,King,13630,12598,0.081917765
Lake Stevens,Snohomish,35630,28069,0.269371905
Lakewood,Pierce,63612,58163,0.093684989
Langley,Island,1147,1035,0.10821256
Leavenworth,Chelan,2263,1965,0.151653944
Liberty Lake,Spokane,12003,7591,0.581214596
Long Beach,Pacific,1688,1392,0.212643678
Longview,Cowlitz,37818,36648,0.031925344
Lynden,Whatcom,15749,11951,0.317797674
Lynnwood,Snohomish,38568,35836,0.076236187
Mabton,Yakima,1959,2286,-0.143044619
Maple Valley,King,28013,22684,0.234923294
Marysville,Snohomish,70714,60020,0.178173942
Mattawa,Grant,3335,4437,-0.248366013
McCleary,Grays Harbor,1997,1653,0.208106473
Medical Lake,Spokane,4874,5060,-0.036758893
Medina,King,2915,2969,-0.018187942
Mercer Island,King,25748,22699,0.134323098
Mesa,Franklin,385,489,-0.212678937
Mill Creek,Snohomish,20926,18244,0.147007235
Millwood,Spokane,1881,1786,0.053191489
Milton,Pierce,8697,6968,0.248134328
Monroe,Snohomish,19699,17304,0.138407305
Montesano,Grays Harbor,4138,3976,0.040744467
Morton,Lewis,1036,1126,-0.079928952
Moses Lake,Grant,25146,20366,0.2347049
Mossyrock,Lewis,768,759,0.011857708
Mount Vernon,Skagit,35219,31743,0.109504458
Mountlake Terrace,Snohomish,21286,19909,0.069164699
Moxee,Yakima,4326,3308,0.307738815
Mukilteo,Snohomish,21538,20254,0.063394885
Napavine,Lewis,1888,1766,0.069082673
Newcastle,King,13017,10380,0.254046243
Newport,Pend Oreille,2114,2126,-0.005644403
Nooksack,Whatcom,1471,1338,0.099402093
Normandy Park,King,6771,6335,0.068823994
North Bend,King,7461,5731,0.301867039
North Bonneville,Skamania,1397,956,0.461297071
Oak Harbor,Island,24622,22075,0.115379388
Oakville,Grays Harbor,715,684,0.045321637
Ocean Shores,Grays Harbor,6715,5569,0.205782008
Okanogan,Okanogan,2379,2552,-0.067789969
Olympia,Thurston,55605,46478,0.196372477
Omak,Okanogan,4860,4845,0.003095975
Oroville,Okanogan,1795,1686,0.064650059
Orting,Pierce,9041,6746,0.340201601
Othello,Adams,8549,7364,0.160917979
Pacific,King,7235,6606,0.09521647
Palouse,Whitman,1015,998,0.017034068
Pasco,Franklin,77108,59781,0.289841254
Pateros,Okanogan,593,667,-0.110944528
Pomeroy,Garfield,1389,1425,-0.025263158
Port Angeles,Clallam,19960,19038,0.048429457
Port Orchard,Kitsap,15587,11144,0.398689878
Port Townsend,Jefferson,10148,9113,0.113574015
Poulsbo,Kitsap,11975,9200,0.301630435
Prescott,Walla Walla,372,318,0.169811321
Prosser,Benton,6062,5714,0.060903045
Pullman,Whitman,32901,29799,0.104097453
Puyallup,Pierce,42973,37022,0.160742261
Quincy,Grant,7543,6750,0.117481481
Rainier,Thurston,2369,1794,0.320512821
Raymond,Pacific,3081,2882,0.069049271
Redmond,King,73256,54144,0.352984634
Renton,King,106785,90927,0.174403642
Republic,Ferry,992,1073,-0.075489282
Richland,Benton,60560,48058,0.260143993
Ridgefield,Clark,10319,4763,1.166491707
Ritzville,Adams,1767,1673,0.056186491
Rock Island,Douglas,1279,788,0.623096447
Roslyn,Kittitas,950,893,0.063829787
Roy,Pierce,816,793,0.029003783
Royal City,Grant,1776,2140,-0.170093458
Ruston,Pierce,1055,749,0.408544726
Sammamish,King,67455,45780,0.473460026
SeaTac,King,31454,26909,0.168902598
Seattle,King,737015,608660,0.21088128
Sedro-Woolley,Skagit,12421,10540,0.178462998
Selah,Yakima,8153,7147,0.14075836
Sequim,Clallam,8024,6606,0.214653345
Shelton,Mason,10371,9834,0.054606467
Shoreline,King,58608,53007,0.105665289
Snohomish,Snohomish,10126,9098,0.112991866
Snoqualmie,King,14121,10670,0.323430178
Soap Lake,Grant,1691,1514,0.116908851
South Bend,Pacific,1746,1637,0.066585217
Spangle,Spokane,280,278,0.007194245
Spokane,Spokane,228989,208916,0.096081679
Spokane Valley,Spokane,102976,89755,0.147300986
Sprague,Lincoln,495,446,0.109865471
