Date,County,Vehicle Primary Use,BEV Registered,PHEV Registerd,EV Total,Non-EV Total,Total Vehicles,Percent EV
1/31/2017,Adams,Truck,0,0,0,5077,5077,0
1/31/2017,Adams,Passenger,1,1,2,12175,12177,0.02
2/28/2017,Adams,Passenger,2,2,4,12126,12130,0.03
2/28/2017,Adams,Truck,0,0,0,5071,5071,0
3/31/2017,Adams,Truck,0,0,0,5070,5070,0
3/31/2017,Adams,Passenger,2,4,6,12107,12113,0.05
4/30/2017,Adams,Truck,0,0,0,5072,5072,0
4/30/2017,Adams,Passenger,2,3,5,12128,12133,0.04
5/31/2017,Adams,Truck,0,0,0,5079,5079,0
5/31/2017,Adams,Passenger,2,3,5,12197,12202,0.04
6/30/2017,Adams,Passenger,2,3,5,12204,12209,0.04
6/30/2017,Adams,Truck,0,0,0,5106,5106,0
7/31/2017,Adams,Passenger,3,3,6,12184,12190,0.05
7/31/2017,Adams,Truck,0,0,0,5123,5123,0
8/31/2017,Adams,Truck,0,0,0,5097,5097,0
8/31/2017,Adams,Passenger,3,3,6,12183,12189,0.05
9/30/2017,Adams,Passenger,3,3,6,12263,12269,0.05
9/30/2017,Adams,Truck,0,0,0,5123,5123,0
10/31/2017,Adams,Passenger,3,3,6,12283,12289,0.05
10/31/2017,Adams,Truck,0,0,0,5135,5135,0
11/30/2017,Adams,Truck,0,0,0,5141,5141,0
11/30/2017,Adams,Passenger,3,5,8,12358,12366,0.06
12/31/2017,Adams,Passenger,4,5,9,12408,12417,0.07
12/31/2017,Adams,Truck,0,0,0,5128,5128,0
1/31/2018,Adams,Passenger,4,4,8,12443,12451,0.06
1/31/2018,Adams,Truck,0,0,0,5148,5148,0
2/28/2018,Adams,Passenger,5,4,9,12459,12468,0.07
2/28/2018,Adams,Truck,0,0,0,5139,5139,0
3/31/2018,Adams,Passenger,5,4,9,12471,12480,0.07
3/31/2018,Adams,Truck,0,0,0,5152,5152,0
4/30/2018,Adams,Truck,0,0,0,5150,5150,0
4/30/2018,Adams,Passenger,5,4,9,12524,12533,0.07
5/31/2018,Adams,Truck,0,0,0,5158,5158,0
5/31/2018,Adams,Passenger,5,5,10,12598,12608,0.08
6/30/2018,Adams,Passenger,5,5,10,12617,12627,0.08
6/30/2018,Adams,Truck,0,0,0,5165,5165,0
7/31/2018,Adams,Passenger,5,5,10,12642,12652,0.08
7/31/2018,Adams,Truck,0,0,0,5161,5161,0
8/31/2018,Adams,Truck,0,0,0,5174,5174,0
8/31/2018,Adams,Passenger,5,5,10,12683,12693,0.08
9/30/2018,Adams,Truck,0,0,0,5159,5159,0
9/30/2018,Adams,Passenger,5,5,10,12683,12693,0.08
10/31/2018,Adams,Passenger,5,5,10,12721,12731,0.08
10/31/2018,Adams,Truck,0,0,0,5152,5152,0
11/30/2018,Adams,Passenger,5,5,10,12750,12760,0.08
11/30/2018,Adams,Truck,0,0,0,5161,5161,0
12/31/2018,Adams,Passenger,5,6,11,12745,12756,0.09
12/31/2018,Adams,Truck,0,0,0,5151,5151,0
1/31/2019,Adams,Passenger,5,6,11,12743,12754,0.09
1/31/2019,Adams,Truck,0,0,0,5144,5144,0
2/28/2019,Adams,Passenger,4,6,10,12671,12681,0.08
2/28/2019,Adams,Truck,0,0,0,5111,5111,0
3/31/2019,Adams,Truck,0,0,0,5107,5107,0
3/31/2019,Adams,Passenger,4,6,10,12632,12642,0.08
4/30/2019,Adams,Truck,0,0,0,5106,5106,0
4/30/2019,Adams,Passenger,5,6,11,12657,12668,0.09
5/31/2019,Adams,Truck,0,0,0,5129,5129,0
5/31/2019,Adams,Passenger,5,6,11,12714,12725,0.09
6/30/2019,Adams,Truck,0,0,0,5130,5130,0
6/30/2019,Adams,Passenger,5,6,11,12757,12768,0.09
7/31/2019,Adams,Passenger,5,6,11,12835,12846,0.09
7/31/2019,Adams,Truck,0,0,0,5134,5134,0
8/31/2019,Adams,Passenger,5,5,10,12843,12853,0.08
8/31/2019,Adams,Truck,0,0,0,5140,5140,0
9/30/2019,Adams,Truck,0,0,0,5140,5140,0
9/30/2019,Adams,Passenger,5,5,10,12887,12897,0.08
10/31/2019,Adams,Truck,0,0,0,5155,5155,0
10/31/2019,Adams,Passenger,6,6,12,12912,12924,0.09
11/30/2019,Adams,Passenger,6,7,13,12928,12941,0.1
11/30/2019,Adams,Truck,0,0,0,5185,5185,0
12/31/2019,Adams,Passenger,6,7,13,12936,12949,0.1
12/31/2019,Adams,Truck,0,0,0,5198,5198,0
1/31/2020,Adams,Truck,0,0,0,5211,5211,0
1/31/2020,Adams,Passenger,7,7,14,12913,12927,0.11
2/29/2020,Adams,Passenger,7,7,14,12913,12927,0.11
2/29/2020,Adams,Truck,0,0,0,5221,5221,0
3/31/2020,Adams,Truck,0,0,0,5219,5219,0
3/31/2020,Adams,Passenger,7,7,14,12891,12905,0.11
4/30/2020,Adams,Truck,0,0,0,5206,5206,0
4/30/2020,Adams,Passenger,7,7,14,12756,12770,0.11
5/31/2020,Adams,Passenger,8,7,15,12719,12734,0.12
5/31/2020,Adams,Truck,0,0,0,5217,5217,0
6/30/2020,Adams,Passenger,9,7,16,12786,12802,0.12
6/30/2020,Adams,Truck,0,0,0,5263,5263,0
7/31/2020,Adams,Passenger,9,7,16,12866,12882,0.12
7/31/2020,Adams,Truck,0,0,0,5283,5283,0
8/31/2020,Adams,Passenger,9,7,16,12869,12885,0.12
8/31/2020,Adams,Truck,0,0,0,5303,5303,0
9/30/2020,Adams,Passenger,8,7,15,12920,12935,0.12
9/30/2020,Adams,Truck,0,0,0,5309,5309,0
10/31/2020,Adams,Passenger,8,7,15,12938,12953,0.12
10/31/2020,Adams,Truck,0,0,0,5335,5335,0
11/30/2020,Adams,Truck,0,0,0,5325,5325,0
11/30/2020,Adams,Passenger,10,6,16,12944,12960,0.12
12/31/2020,Adams,Truck,0,0,0,5337,5337,0
12/31/2020,Adams,Passenger,10,7,17,12962,12979,0.13
1/31/2021,Adams,Passenger,10,6,16,12973,12989,0.12
1/31/2021,Adams,Truck,0,0,0,5347,5347,0
2/28/2021,Adams,Truck,0,0,0,5344,5344,0
2/28/2021,Adams,Passenger,10,6,16,12977,12993,0.12
3/31/2021,Adams,Passenger,10,7,17,12999,13016,0.13
3/31/2021,Adams,Truck,0,0,0,5375,5375,0
4/30/2021,Adams,Truck,0,0,0,5406,5406,0
4/30/2021,Adams,Passenger,11,9,20,13056,13076,0.15
5/31/2021,Adams,Passenger,11,9,20,13045,13065,0.15
5/31/2021,Adams,Truck,0,0,0,5374,5374,0
6/30/2021,Adams,Truck,0,0,0,5386,5386,0
6/30/2021,Adams,Passenger,16,11,27,13037,13064,0.21
7/31/2021,Adams,Passenger,16,12,28,13040,13068,0.21
7/31/2021,Adams,Truck,0,0,0,5392,5392,0
8/31/2021,Adams,Truck,0,0,0,5413,5413,0
8/31/2021,Adams,Passenger,16,14,30,13043,13073,0.23
9/30/2021,Adams,Passenger,16,14,30,13047,13077,0.23
9/30/2021,Adams,Truck,0,0,0,5403,5403,0
10/31/2021,Adams,Passenger,16,14,30,13036,13066,0.23
10/31/2021,Adams,Truck,0,0,0,5409,5409,0
11/30/2021,Adams,Truck,0,0,0,5421,5421,0
11/30/2021,Adams,Passenger,16,14,30,13046,13076,0.23
12/31/2021,Adams,Passenger,17,14,31,13086,13117,0.24
12/31/2021,Adams,Truck,0,0,0,5419,5419,0
1/31/2022,Adams,Passenger,17,14,31,13045,13076,0.24
1/31/2022,Adams,Truck,0,0,0,5434,5434,0
2/28/2022,Adams,Passenger,17,14,31,13024,13055,0.24
2/28/2022,Adams,Truck,0,0,0,5459,5459,0
3/31/2022,Adams,Passenger,16,11,27,12986,13013,0.21
3/31/2022,Adams,Truck,0,0,0,5488,5488,0
4/30/2022,Adams,Passenger,16,10,26,12990,13016,0.2
4/30/2022,Adams,Truck,0,0,0,5481,5481,0
5/31/2022,Adams,Passenger,16,10,26,12963,12989,0.2
5/31/2022,Adams,Truck,0,0,0,5475,5475,0
6/30/2022,Adams,Truck,1,0,1,5469,5470,0.02
6/30/2022,Adams,Passenger,17,10,27,12943,12970,0.21
7/31/2022,Adams,Truck,1,0,1,5460,5461,0.02
7/31/2022,Adams,Passenger,19,10,29,12951,12980,0.22
8/31/2022,Adams,Passenger,21,9,30,12984,13014,0.23
8/31/2022,Adams,Truck,1,0,1,5435,5436,0.02
9/30/2022,Adams,Passenger,22,10,32,13025,13057,0.25
9/30/2022,Adams,Truck,1,0,1,5426,5427,0.02
10/31/2022,Adams,Passenger,22,12,34,13047,13081,0.26
10/31/2022,Adams,Truck,1,0,1,5429,5430,0.02
11/30/2022,Adams,Truck,1,0,1,5387,5388,0.02
11/30/2022,Adams,Passenger,22,11,33,13018,13051,0.25
12/31/2022,Adams,Truck,1,0,1,5375,5376,0.02
12/31/2022,Adams,Passenger,23,11,34,12998,13032,0.26
1/31/2023,Adams,Passenger,22,11,33,12983,13016,0.25
1/31/2023,Adams,Truck,1,0,1,5361,5362,0.02
2/28/2023,Adams,Passenger,21,11,32,12964,12996,0.25
2/28/2023,Adams,Truck,2,0,2,5337,5339,0.04
3/31/2023,Adams,Passenger,22,11,33,12935,12968,0.25
3/31/2023,Adams,Truck,2,0,2,5284,5286,0.04
4/30/2023,Adams,Passenger,23,12,35,12847,12882,0.27
4/30/2023,Adams,Truck,2,0,2,5220,5222,0.04
5/31/2023,Adams,Truck,2,0,2,5131,5133,0.04
5/31/2023,Adams,Passenger,24,12,36,12668,12704,0.28
1/31/2017,Asotin,Truck,0,0,0,6487,6487,0
1/31/2017,Asotin,Passenger,4,3,7,12319,12326,0.06
2/28/2017,Asotin,Passenger,4,3,7,12324,12331,0.06
2/28/2017,Asotin,Truck,0,0,0,6475,6475,0
3/31/2017,Asotin,Truck,0,0,0,6511,6511,0
3/31/2017,Asotin,Passenger,5,2,7,12335,12342,0.06
4/30/2017,Asotin,Truck,0,0,0,6504,6504,0
4/30/2017,Asotin,Passenger,6,2,8,12343,12351,0.06
5/31/2017,Asotin,Truck,0,0,0,6491,6491,0
5/31/2017,Asotin,Passenger,6,3,9,12376,12385,0.07
6/30/2017,Asotin,Passenger,6,3,9,12427,12436,0.07
6/30/2017,Asotin,Truck,0,0,0,6502,6502,0
7/31/2017,Asotin,Truck,0,0,0,6532,6532,0
7/31/2017,Asotin,Passenger,8,4,12,12439,12451,0.1
8/31/2017,Asotin,Passenger,8,5,13,12444,12457,0.1
8/31/2017,Asotin,Truck,0,0,0,6514,6514,0
9/30/2017,Asotin,Passenger,7,5,12,12463,12475,0.1
9/30/2017,Asotin,Truck,0,0,0,6506,6506,0
10/31/2017,Asotin,Passenger,7,5,12,12479,12491,0.1
10/31/2017,Asotin,Truck,0,0,0,6523,6523,0
11/30/2017,Asotin,Truck,0,0,0,6551,6551,0
11/30/2017,Asotin,Passenger,7,5,12,12514,12526,0.1
12/31/2017,Asotin,Truck,0,0,0,6542,6542,0
12/31/2017,Asotin,Passenger,8,5,13,12519,12532,0.1
1/31/2018,Asotin,Truck,0,0,0,6558,6558,0
1/31/2018,Asotin,Passenger,8,5,13,12548,12561,0.1
2/28/2018,Asotin,Passenger,8,5,13,12588,12601,0.1
2/28/2018,Asotin,Truck,0,0,0,6579,6579,0
3/31/2018,Asotin,Passenger,8,5,13,12627,12640,0.1
3/31/2018,Asotin,Truck,0,0,0,6592,6592,0
4/30/2018,Asotin,Passenger,8,6,14,12640,12654,0.11
4/30/2018,Asotin,Truck,0,0,0,6593,6593,0
5/31/2018,Asotin,Truck,0,0,0,6630,6630,0
5/31/2018,Asotin,Passenger,8,6,14,12602,12616,0.11
6/30/2018,Asotin,Truck,0,0,0,6615,6615,0
6/30/2018,Asotin,Passenger,9,6,15,12603,12618,0.12
7/31/2018,Asotin,Passenger,11,8,19,12638,12657,0.15
7/31/2018,Asotin,Truck,0,0,0,6627,6627,0
8/31/2018,Asotin,Truck,0,0,0,6647,6647,0
8/31/2018,Asotin,Passenger,11,8,19,12664,12683,0.15
9/30/2018,Asotin,Passenger,11,8,19,12679,12698,0.15
9/30/2018,Asotin,Truck,0,0,0,6629,6629,0
10/31/2018,Asotin,Truck,0,0,0,6634,6634,0
10/31/2018,Asotin,Passenger,12,9,21,12715,12736,0.16
11/30/2018,Asotin,Truck,0,0,0,6618,6618,0
11/30/2018,Asotin,Passenger,12,9,21,12728,12749,0.16
12/31/2018,Asotin,Passenger,12,9,21,12726,12747,0.16
12/31/2018,Asotin,Truck,0,0,0,6633,6633,0
1/31/2019,Asotin,Passenger,12,9,21,12731,12752,0.16
1/31/2019,Asotin,Truck,0,0,0,6643,6643,0
2/28/2019,Asotin,Passenger,12,9,21,12684,12705,0.17
2/28/2019,Asotin,Truck,0,0,0,6642,6642,0
3/31/2019,Asotin,Passenger,12,9,21,12662,12683,0.17
3/31/2019,Asotin,Truck,0,0,0,6630,6630,0
4/30/2019,Asotin,Passenger,12,8,20,12661,12681,0.16
4/30/2019,Asotin,Truck,0,0,0,6627,6627,0
5/31/2019,Asotin,Truck,0,0,0,6650,6650,0
5/31/2019,Asotin,Passenger,12,8,20,12677,12697,0.16
6/30/2019,Asotin,Passenger,12,8,20,12642,12662,0.16
6/30/2019,Asotin,Truck,0,0,0,6665,6665,0
7/31/2019,Asotin,Passenger,12,8,20,12659,12679,0.16
7/31/2019,Asotin,Truck,0,0,0,6658,6658,0
8/31/2019,Asotin,Truck,0,0,0,6682,6682,0
8/31/2019,Asotin,Passenger,12,7,19,12643,12662,0.15
9/30/2019,Asotin,Passenger,12,8,20,12632,12652,0.16
9/30/2019,Asotin,Truck,0,0,0,6680,6680,0
10/31/2019,Asotin,Truck,0,0,0,6691,6691,0
10/31/2019,Asotin,Passenger,12,8,20,12645,12665,0.16
11/30/2019,Asotin,Truck,0,0,0,6691,6691,0
11/30/2019,Asotin,Passenger,13,8,21,12656,12677,0.17
12/31/2019,Asotin,Passenger,14,9,23,12680,12703,0.18
12/31/2019,Asotin,Truck,0,0,0,6706,6706,0
1/31/2020,Asotin,Truck,0,0,0,6717,6717,0
1/31/2020,Asotin,Passenger,17,11,28,12724,12752,0.22
2/29/2020,Asotin,Passenger,16,11,27,12672,12699,0.21
2/29/2020,Asotin,Truck,0,0,0,6692,6692,0
3/31/2020,Asotin,Truck,0,0,0,6664,6664,0
3/31/2020,Asotin,Passenger,16,12,28,12597,12625,0.22
4/30/2020,Asotin,Passenger,16,12,28,12445,12473,0.22
4/30/2020,Asotin,Truck,0,0,0,6614,6614,0
5/31/2020,Asotin,Truck,0,0,0,6584,6584,0
5/31/2020,Asotin,Passenger,16,12,28,12339,12367,0.23
6/30/2020,Asotin,Passenger,16,12,28,12322,12350,0.23
6/30/2020,Asotin,Truck,0,0,0,6636,6636,0
7/31/2020,Asotin,Truck,0,0,0,6651,6651,0
7/31/2020,Asotin,Passenger,16,12,28,12379,12407,0.23
8/31/2020,Asotin,Truck,0,0,0,6664,6664,0
8/31/2020,Asotin,Passenger,17,14,31,12357,12388,0.25
9/30/2020,Asotin,Truck,0,0,0,6690,6690,0
9/30/2020,Asotin,Passenger,17,14,31,12399,12430,0.25
10/31/2020,Asotin,Truck,0,0,0,6682,6682,0
10/31/2020,Asotin,Passenger,17,14,31,12403,12434,0.25
11/30/2020,Asotin,Truck,0,0,0,6662,6662,0
11/30/2020,Asotin,Passenger,17,14,31,12413,12444,0.25
12/31/2020,Asotin,Passenger,16,13,29,12415,12444,0.23
12/31/2020,Asotin,Truck,0,0,0,6671,6671,0
1/31/2021,Asotin,Passenger,16,13,29,12443,12472,0.23
1/31/2021,Asotin,Truck,0,0,0,6686,6686,0
2/28/2021,Asotin,Truck,0,0,0,6692,6692,0
2/28/2021,Asotin,Passenger,17,14,31,12489,12520,0.25
3/31/2021,Asotin,Passenger,17,14,31,12572,12603,0.25
3/31/2021,Asotin,Truck,0,0,0,6721,6721,0
4/30/2021,Asotin,Passenger,19,14,33,12662,12695,0.26
4/30/2021,Asotin,Truck,0,0,0,6765,6765,0
5/31/2021,Asotin,Truck,0,0,0,6779,6779,0
5/31/2021,Asotin,Passenger,19,14,33,12703,12736,0.26
6/30/2021,Asotin,Passenger,20,17,37,12733,12770,0.29
6/30/2021,Asotin,Truck,0,0,0,6789,6789,0
7/31/2021,Asotin,Truck,0,0,0,6764,6764,0
7/31/2021,Asotin,Passenger,21,17,38,12713,12751,0.3
8/31/2021,Asotin,Truck,0,0,0,6753,6753,0
8/31/2021,Asotin,Passenger,21,17,38,12732,12770,0.3
9/30/2021,Asotin,Truck,0,0,0,6753,6753,0
9/30/2021,Asotin,Passenger,20,17,37,12740,12777,0.29
10/31/2021,Asotin,Truck,0,0,0,6746,6746,0
10/31/2021,Asotin,Passenger,21,17,38,12772,12810,0.3
