FIPS Code,State,do_not_use,County,RUCA code,Tract Pop,Area sq mi,Pop Density
53001,WA,Adams,Adams,10,2447,623.7214516,3.923225654
53001,WA,Adams,Adams,10,1738,1015.259082,1.711878309
53001,WA,Adams,Adams,4,6934,279.9034602,24.77282702
53001,WA,Adams,Adams,4,2856,1.311323836,2177.951717
53001,WA,Adams,Adams,4,4753,4.782248798,993.883882
53003,WA,Asotin,Asotin,1,4304,517.4743949,8.317319741
53003,WA,Asotin,Asotin,1,4542,113.9879181,39.84632824
53003,WA,Asotin,Asotin,1,3775,1.531549953,2464.823294
53003,WA,Asotin,Asotin,1,2165,0.612648398,3533.837689
53003,WA,Asotin,Asotin,1,3424,0.714545396,4791.857902
53003,WA,Asotin,Asotin,1,3413,1.891934248,1803.973898
53005,WA,Benton,Benton,1,4448,2.497401918,1781.050926
53005,WA,Benton,Benton,1,4295,16.80585586,255.5656812
53005,WA,Benton,Benton,1,6060,2.017117068,3004.287702
53005,WA,Benton,Benton,1,5010,2.209678578,2267.298082
53005,WA,Benton,Benton,1,3617,0.580016973,6236.024406
53005,WA,Benton,Benton,1,3022,1.005028981,3006.878466
53005,WA,Benton,Benton,1,4296,3.024273858,1420.506278
53005,WA,Benton,Benton,2,2138,14.21830603,150.3695303
53005,WA,Benton,Benton,1,2803,18.95032178,147.9130557
53005,WA,Benton,Benton,1,5268,2.848785014,1849.209391
53005,WA,Benton,Benton,1,2491,2.154576392,1156.143736
53005,WA,Benton,Benton,1,2440,3.29787667,739.8699965
53005,WA,Benton,Benton,1,6690,4.416716603,1514.699856
53005,WA,Benton,Benton,1,5917,4.218058153,1402.778194
53005,WA,Benton,Benton,2,1082,37.63988366,28.74610373
53005,WA,Benton,Benton,1,6015,1.474089455,4080.485061
53005,WA,Benton,Benton,1,4548,2.273919802,2000.070537
53005,WA,Benton,Benton,1,3100,8.935380009,346.9354405
53005,WA,Benton,Benton,1,9288,7.928719361,1171.437603
53005,WA,Benton,Benton,1,2844,36.64874818,77.60155916
53005,WA,Benton,Benton,1,6177,2.832164473,2181.017401
53005,WA,Benton,Benton,1,4907,0.989803042,4957.551951
53005,WA,Benton,Benton,1,4975,1.675206603,2969.782945
53005,WA,Benton,Benton,1,4475,1.144046999,3911.552587
53005,WA,Benton,Benton,1,7365,1.995000363,3691.728652
53005,WA,Benton,Benton,1,8552,0.971724966,8800.844172
