County,CountyPop_90,CountyPop_00,CountyPop_10,CountyPop_20,CountyPop_22,County_Rural_Urban_Code
Adams,13603,16426,18728,20612,20961,6
Asotin,17605,20553,21623,22288,22508,3
Benton,112560,142473,175177,206875,212791,2
Chelan,52250,66611,72453,79078,79926,3
Clallam,56210,64183,71404,77160,77805,5
Clark,238053,345235,425363,503309,516779,1
Columbia,4024,4064,4078,3952,4026,3
Cowlitz,82119,92945,102410,110740,111956,3
Douglas,26205,32589,38431,42937,44192,3
Ferry,6295,7262,7551,7178,7448,9
Franklin,37473,49378,78163,96746,98678,2
Garfield,2248,2397,2266,2288,2363,8
Grant,54798,74714,89120,99120,101311,5
Grays Harbor,64175,67141,72797,75636,77038,4
Island,60195,71571,78506,86847,86625,4
Jefferson,20406,26301,29872,32975,33589,6
King,1507305,1737075,1931249,2269667,2266789,1
Kitsap,189731,231982,251133,275605,277673,2
Kittitas,26725,33369,40915,44342,45189,4
Klickitat,16616,19170,20318,22734,23271,6
Lewis,59358,68585,75455,82152,85370,4
Lincoln,8864,10173,10570,10879,11601,8
Mason,38341,49443,60699,65722,68166,4
Okanogan,33350,39567,41120,42098,43127,6
Pacific,18882,20979,20920,23365,24113,7
Pend Oreille,8915,11706,13001,13404,14179,2
Pierce,586203,700816,795225,921137,927380,1
San Juan,10035,14052,15769,17789,18662,9
Skagit,79545,103017,116901,129515,131179,3
Skamania,8289,9876,11066,12033,12460,1
Snohomish,465628,606043,713335,827947,840079,1
Spokane,361333,417968,471221,539332,549690,2
Stevens,30948,40082,43531,46450,48229,2
Thurston,161238,207392,252264,294797,298758,2
Wahkiakum,3327,3824,3978,4419,4688,8
Walla Walla,48439,55177,58781,62586,61890,3
Whatcom,127780,166822,201140,226843,230677,3
Whitman,38775,40742,44776,47971,47619,4
Yakima,188823,222578,243231,256719,257001,3
